pick_number,round,position,player_name,team,manager
120,8,TE,David Njoku,CLE,826866295868891136
121,8,WR,Michael Pittman,IND,827412517738393600
122,8,WR,Jauan Jennings,SF,826987993683304448
123,8,RB,Braelon Allen,NYJ,450350679567888384
124,8,QB,Drake Maye,NE,826895872460685312
125,8,WR,Brandon Aiyuk,SF,419350278400126976
126,8,RB,Ray Davis,BUF,826858882428141568
127,8,RB,Trey Benson,ARI,826875091739602944
128,8,WR,Rashod Bateman,BAL,451533819841867776
129,9,RB,Ollie Gordon,MIA,451533819841867776
130,9,WR,Luther Burden,CHI,826875091739602944
131,9,QB,Justin Herbert,LAC,826858882428141568
132,9,WR,Kyle Williams,NE,419350278400126976
133,9,RB,Dylan Sampson,CLE,826895872460685312
134,9,WR,Darnell Mooney,ATL,450350679567888384
135,9,WR,Jayden Reed,GB,826987993683304448
136,9,RB,Tyler Allgeier,ATL,827412517738393600
137,9,QB,C.J. Stroud,HOU,826866295868891136
138,9,RB,Cam Skattebo,NYG,448551108936200192
139,9,WR,Joshua Palmer,BUF,959954145530691584
140,9,WR,Rashid Shaheed,NO,738166858095673344
141,9,TE,Pat Freiermuth,PIT,826875538638512128
142,9,RB,Najee Harris,LAC,1108533477386948608
143,9,WR,Christian Kirk,HOU,471801039259955200
144,9,WR,Andrei Iosivas,CIN,1137078469978001408
145,10,RB,Tyjae Spears,TEN,1137078469978001408
146,10,RB,Rachaad White,TB,471801039259955200
147,10,WR,Keenan Allen,LAC,1108533477386948608
148,10,RB,Isaac Guerendo,SF,826875538638512128
149,10,RB,Jaylen Wright,MIA,738166858095673344
150,10,RB,Woody Marks,HOU,959954145530691584
151,10,TE,Dallas Goedert,PHI,448551108936200192
152,10,RB,Kareem Hunt,KC,826866295868891136
153,10,WR,Adam Thielen,MIN,827412517738393600
154,10,RB,Jerome Ford,CLE,826987993683304448
155,10,WR,Cedric Tillman,CLE,450350679567888384
156,10,RB,Will Shipley,PHI,826895872460685312
157,10,WR,Dont'e Thornton,LV,419350278400126976
158,10,WR,Xavier Legette,CAR,826858882428141568
159,10,WR,Wan'Dale Robinson,NYG,826875091739602944
160,10,RB,Rico Dowdle,CAR,451533819841867776
161,11,WR,Elic Ayomanor,TEN,451533819841867776
162,11,RB,DJ Giddens,IND,826875091739602944
163,11,WR,Tre' Harris,LAC,826858882428141568
164,11,WR,Hollywood Brown,KC,419350278400126976
165,11,LB,Zaire Franklin,IND,826895872460685312
166,11,RB,Kyle Monangai,CHI,450350679567888384
167,11,WR,DeMario Douglas,NE,826987993683304448
168,11,QB,Matthew Stafford,LAR,827412517738393600
169,11,WR,Romeo Doubs,GB,826866295868891136
170,11,WR,Isaac TeSlaa,DET,448551108936200192
171,11,WR,Jalen Coker,CAR,959954145530691584
172,11,TE,Kyle Pitts,ATL,738166858095673344
173,11,TE,Jake Ferguson,DAL,826875538638512128
174,11,LB,Roquan Smith,BAL,1108533477386948608
175,11,WR,Quentin Johnston,LAC,471801039259955200
176,11,WR,Josh Reynolds,NYJ,1137078469978001408
177,12,LB,Zack Baun,PHI,1137078469978001408
178,12,WR,DeAndre Hopkins,BAL,471801039259955200
179,12,QB,Caleb Williams,CHI,1108533477386948608
180,12,QB,Trevor Lawrence,JAX,826875538638512128
181,12,QB,J.J. McCarthy,MIN,738166858095673344
182,12,WR,Pat Bryant,DEN,959954145530691584
183,12,QB,Jordan Love,GB,448551108936200192
184,12,LB,Fred Warner,SF,826866295868891136
185,12,LB,Kaden Elliss,ATL,827412517738393600
186,12,LB,T.J. Watt,PIT,826987993683304448
187,12,QB,Bryce Young,CAR,450350679567888384
188,12,QB,Cam Ward,TEN,826895872460685312
189,12,LB,T.J. Edwards,CHI,419350278400126976
190,12,QB,Geno Smith,LV,826858882428141568
191,12,QB,Michael Penix,ATL,826875091739602944
192,12,QB,Sam Darnold,SEA,451533819841867776
193,13,LB,Nik Bonitto,DEN,451533819841867776
194,13,LB,Micah Parsons,GB,826875091739602944
195,13,RB,Keaton Mitchell,BAL,826858882428141568
196,13,QB,Tua Tagovailoa,MIA,419350278400126976
197,13,LB,Foyesade Oluokun,JAX,826895872460685312
198,13,DE,Maxx Crosby,LV,450350679567888384
199,13,QB,Aaron Rodgers,PIT,826987993683304448
200,13,LB,Jordyn Brooks,MIA,827412517738393600
201,13,LB,Robert Spillane,NE,826866295868891136
202,13,WR,Tory Horton,SEA,448551108936200192
203,13,RB,Roschon Johnson,CHI,959954145530691584
204,13,DB,Brian Branch,DET,738166858095673344
205,13,DL,Will Anderson,HOU,826875538638512128
206,13,LB,Nick Bolton,KC,1108533477386948608
207,13,LB,Ernest Jones,SEA,471801039259955200
208,13,LB,Alex Singleton,DEN,1137078469978001408
209,14,DE,Myles Garrett,CLE,1137078469978001408
210,14,DB,Kyle Hamilton,BAL,471801039259955200
211,14,DL,Aidan Hutchinson,DET,1108533477386948608
212,14,LB,Logan Wilson,CIN,826875538638512128
213,14,RB,Miles Sanders,DAL,738166858095673344
214,14,TE,Brenton Strange,JAX,959954145530691584
215,14,RB,Tahj Brooks,CIN,448551108936200192
216,14,LB,Jamien Sherwood,NYJ,826866295868891136
217,14,LB,Bobby Okereke,NYG,827412517738393600
218,14,DB,Nick Cross,IND,826987993683304448
219,14,LB,Blake Cashman,MIN,450350679567888384
220,14,LB,Terrel Bernard,BUF,826895872460685312
221,14,LB,Edgerrin Cooper,GB,419350278400126976
222,14,WR,Michael Wilson,ARI,826858882428141568
223,14,DB,Jessie Bates,ATL,826875091739602944
224,14,TE,Elijah Arroyo,SEA,451533819841867776
225,15,WR,Troy Franklin,DEN,451533819841867776
226,15,DL,Abdul Carter,NYG,826875091739602944
227,15,TE,Harold Fannin,CLE,826858882428141568
228,15,TE,Mason Taylor,NYJ,419350278400126976
229,15,DE,Nick Bosa,SF,826895872460685312
230,15,LB,Daiyan Henley,LAC,450350679567888384
231,15,LB,Patrick Queen,PIT,826987993683304448
232,15,DL,Jalon Walker,ATL,827412517738393600
233,15,DB,Budda Baker,ARI,826866295868891136
234,15,RB,Brashard Smith,KC,448551108936200192
235,15,LB,Andrew Van Ginkel,MIN,959954145530691584
